Código - PDM;Título - PDM;Descrição Longa - PDM;Descrição Curta - PDM;Característica - Descrição;Conteúdo - Descrição;Descrição Curta - Conteúdo;Unidade - Descrição;Sigla - Unidade
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1050/G20;FALK-1050/G20;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1050/T10;FALK-1050/T10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1050T;FALK-1050T;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1055/G10;FALK-1055/G10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1060T;FALK-1060T;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1070/G20;FALK-1070/G20;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1070/T10;FALK-1070/T10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1070T;FALK-1070T;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1080/T10;FALK-1080/T10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-10F;FALK-10F;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1100/T10;FALK-1100/T10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1110/T10;FALK-1110/T10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-12F;FALK-12F;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-14F;FALK-14F;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-16F;FALK-16F;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-50G;FALK-50G;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;PTI-TETEFLEX D5;PTI-TETEFLEX D5;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;PTI-TETEFLEX D9/D11;PTI-TETEFLEX D9/D11;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;TRANSMOTECNICA-TETEFLEX D13;TRANSMOTEC-TETEFLEX D13;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;TRANSMOTECNICA-TETEFLEX D5/D6/D7;TRANSMOTEC-TETEFLEX D5/D6/D7;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;VOITH-302500369;VOITH-302500369;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;VOITH-302500375;VOITH-302500375;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;VULKAN-4NP210400;VULKAN-4NP210400;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;MATERIAL;;;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;ACABAMENTO;;;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;COR;;;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;EXAUSTAO;;;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;IGNICAO;;;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;TIPO GAS;;;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;VAZAO;;;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;FAIXA PRESSAO AGUA;;;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;CONEXAO ENTRADA;;;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;CONEXAO SAIDA;;;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;ALIMENTACAO;;;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;DIMENSOES;;;;
SMK-AAGAS;AQUECEDOR A GAS;AQUECEDOR GAS;AQUECEDOR GAS;FABRICANTE-REFERENCIA;;;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;TIPO / MODELO;CINTA;CINT;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;TIPO / MODELO;D;D;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;TIPO / MODELO;MANGOTE;MANG;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;TIPO / MODELO;MANGOTE REFORCADO;MANG-R;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;TIPO / MODELO;ROSCA SEM FIM;RSF;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;TIPO / MODELO;TUCHO;TUCH;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;MATERIAL;ACO CARBONO SAE 1010/1020;SAE1020;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;MATERIAL;ACO INOX AISI 304;AISI304;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;TRATAMENTO SUPERFICIAL;BICROMATIZADO;;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;TRATAMENTO SUPERFICIAL;GALVANIZADO ELETROLITICO;;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;TRATAMENTO SUPERFICIAL;GALVANIZADO FOGO;;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;TRATAMENTO SUPERFICIAL;SEM TRATAMENTO;;;
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1;1;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1.1/16~1.1/4;1.1/16~1.1/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1.1/2;1.1/2;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1.1/2~1.1/2;1.1/2~1.1/2;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1.1/2~1.3/4;1.1/2~1.3/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1.1/2~2;1.1/2~2;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1.1/4;1.1/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1.1/4~1.3/4;1.1/4~1.3/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1.1/8~1.1/4;1.1/8~1.1/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1.3/4~2.1/4;1.3/4~2.1/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1.7/8~2.1/4;1.7/8~2.1/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1/2~3/4;1/2~3/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1/2~5/8;1/2~5/8;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1~1.1/2;1~1.1/2;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;1000~1200;1000~1200;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;102 ~ 121;102X121;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;12~16;12~16;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;127~146;127~146;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;13~19;13~19;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;14~22;14~22;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;152~171;152~171;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;16~27;16~27;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;19~22;19~22;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;19~27;19~27;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;2.1/2~2.3/4;2.1/2~2.3/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;2.1/2~3;2.1/2~3;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;2.1/4~2.3/4;2.1/4~2.3/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;2.1/4~3;2.1/4~3;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;2~2.1/2;2~2.1/2;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;200~212;200~212;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;22~32;22~32;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;25~38;25~38;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;29~32;29~32;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;3.1/4~4;3.1/4~4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;3/4~1.1/16;3/4~1.1/16;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;3/8~1/2;3/8~1/2;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;3~3.3/4;3~3.3/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;32~37;32~37;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;32~44;32~44;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;35~40;35~40;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;38~51;38~51;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;39~47;39~47;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;4.1/2~5.1/4;4.1/2~5.1/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;4~5;4~5;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;44~57;44~57;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;48~56;48~56;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;5 ~ 5.3/4;5 ~ 5.3/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;5.1/2~6.1/4;5.1/2~6.1/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;5.7/8~6.3/8;5.7/8~6.3/8;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;5/8~1;5/8~1;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;5/8~3/4;5/8~3/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;5~6;5~6;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;51~64;51~64;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;54~62;54~62;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;57~76;57~76;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;6;6;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;6 ~ 6.3/4;6 ~ 6.3/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;6~7;6~7;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;61~69;61~69;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;64~83;64~83;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;67~75;67~75;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;7/16~5/8;7/16~5/8;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;7/8~1.1/4;7/8~1.1/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;7~7.3/4;7~7.3/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;73~81;73~81;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;76~95;76~95;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;8;8;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;8~9;8~9;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;86~94;86~94;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;86~95;86~95;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;89~108;89~108;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;9.1/2~10.1/4;9.1/2~10.1/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;9/16~7/8;9/16~7/8;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;9~12;9~12;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;9~13;9~13;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;FAIXA AJUSTE / COMPRIMENTO;99~107;99~107;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;LARGURA FITA;1.1/2;1.1/2;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;LARGURA FITA;1/4;1/4;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;LARGURA FITA;12;12;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;LARGURA FITA;12,6;12,6;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;LARGURA FITA;14;14;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;LARGURA FITA;14,5;14,5;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;LARGURA FITA;15;15;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;LARGURA FITA;19;19;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;LARGURA FITA;20;20;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;LARGURA FITA;3/8;3/8;POLEGADA;""""
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;LARGURA FITA;30;;MILIMETRO;mm
SMK-AAJUS;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA METALICA AJUSTAVEL;ABRACADEIRA;LARGURA FITA;32;32;MILIMETRO;mm
